Borough,Market Name,Street Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations,Food Activities for Kids,Location Point
Brooklyn,Woodhull Hospital Youthmarket,Broadway & Flushing Ave,40.700726,-73.941932,Wednesday,9 a.m. - 2 p.m.,07/10/2019-11/27/2019,Yes,No,No,No,"(40.700726, -73.941932)"
Manhattan,Mount Sinai Hospital Greenmarket,E 99th St bet Madison & Park Aves,40.789169,-73.952743,Wednesday,8 a.m. - 5 p.m.,06/12/19-11/27/19,Yes,No,No,No,"(40.789169, -73.952743)"
Bronx,170 Farm Stand,E 170th St & Townsend Ave,40.839882,-73.916783,Wednesday,2:30 - 6:30 p.m.,07/10/2019-11/27/2019,Yes,No,No,Yes,"(40.839882, -73.916783)"
Manhattan,Greenmarket at Oculus Plaza,"Church & Fulton Sts, on Oculus Plaza",40.711535,-74.010464,Tuesday,7 a.m. - 7 p.m.,07/09/2019-11/30/19,Yes,Yes,No,No,"(40.711535, -74.010464)"
Queens,Ditmars Park Youthmarket,"Steinway St bet Ditmars Blvd & 23rd Ave, at Ditmars Park",40.772854,-73.906061,Saturday,8 a.m. - 3 p.m.,07/13/2019-11/23/2019,Yes,No,No,No,"(40.772854, -73.906061)"
Bronx,CS211 Go!Healthy Farm Stand,1919 Prospect Ave,40.843546,-73.889755,Wednesday,2:30 - 5:30 p.m.,07/08/2019- 11/22/2019,Yes,No,No,No,"(40.843546, -73.889755)"
Queens,Forest Park Youthmarket,Myrtle Ave & Park Lane South,40.700955,-73.841426,Saturday,10 a.m. - 2 p.m.,07/13/2019-11/23/2019,Yes,No,No,No,"(40.700955, -73.841426)"
Bronx,Harvest Home Jacobi Hospital Farmers Market,"1400 Pelham Pkwy S, at Eastchester Rd",40.857427,-73.847079,Tuesday & Friday,8 a.m. - 4 p.m.,06/11/2019-11/19/2019,Yes,No,No,No,"(40.857427, -73.847079)"
Brooklyn,Marcus Garvey Apartments Farm Stand,300 Chester St,40.664477,-73.910384,Saturday,11 a.m. - 5 p.m.,,Yes,No,No,No,"(40.664477, -73.910384)"
Brooklyn,Fort Greene Park Greenmarket,Washington Park bet Dekalb Ave & Willoughby St,40.691707,-73.973539,Saturday,8 a.m. - 3 p.m.,Year-Round,Yes,Yes,No,No,"(40.691707, -73.973539)"
Bronx,Riverdale Y Sunday Farmers' Market,"Independence Ave bet W 236th & 237th Sts, at MS/HS 141",40.8871,-73.913306,Sunday,9 a.m. - 2 p.m.,05/05/2019-11/24/2019,No,No,No,No,"(40.8871, -73.913306)"
Brooklyn,Cypress Hills Youthmarket,Fulton & Richmond Sts,40.682391,-73.876616,Friday,10 a.m. - 5 p.m.,07/12/2019-11/22/2019,Yes,No,Yes,No,"(40.682391, -73.876616)"
Bronx,South Bronx Farmers Market,E 138th St bet Willis & Alexander Aves,40.809107,-73.922887,Saturday,10 a.m. - 4 p.m.,06/15/2019-11/23/2019,Yes,No,Yes,No,"(40.809107, -73.922887)"
Brooklyn,Isabahlia Farm Stand,514 Rockaway Ave,40.667554,-73.910207,Friday & Saturday,"(F) 9 a.m. - 4 p.m.; 
(S) 9 a.m. - 3 p.m.",06/28/2019-10/25/2019 ; 06/29/2019-10/26/2019,Yes,No,No,No,"(40.667554, -73.910207)"
Bronx,Kingsbridge-Riverdale Farmers Market,260 W 231st St,40.880038,-73.907005,Sunday,9 a.m. - 5 p.m.,05/26/19-11/24/19,Yes,No,No,No,"(40.880038, -73.907005)"
Manhattan,Tucker Square Greenmarket,W 66th St & Broadway,40.773876,-73.982226,Thursday & Saturday,8 a.m. - 5 p.m.,Year-Round (Closed 07/04/19 & 11/28/19 - open 11/27/19),Yes,Yes,No,No,"(40.773876, -73.982226)"
Queens,Long Island City Youthmarket,Center Blvd & 46th Rd,40.746916,-73.956367,Saturday,9 a.m. - 2 p.m.,07/13/2019-11/23/2019,Yes,No,No,No,"(40.746916, -73.956367)"
Bronx,New Roots Community Farmers Market,670 Grand Concourse,40.821403,-73.925528,Tuesday,3 - 7 p.m.,07/09/2019-10/29/2019,No,No,No,No,"(40.821403, -73.925528)"
Brooklyn,Harvest Home Clinton Hill Farm Stand,Lafayette & Waverly Aves,40.688088,-73.966819,Tuesday,8 a.m. - 4 p.m.,06/04/2019-11/19/2019,Yes,No,No,No,"(40.688088, -73.966819)"
Manhattan,Harvest Home Lenox Ave Farm Stand,Lenox Ave bet W 117th & 118th Sts,40.802699,-73.949186,Saturday,8 a.m. - 4 p.m.,06/07/2019-11/15/2019,Yes,No,No,No,"(40.802699, -73.949186)"
Brooklyn,McCarren Park Greenmarket,Union Ave bet Driggs and N 12th Sts,40.719219,-73.952479,Saturday,8 a.m. - 2 p.m.,Year-Round,Yes,Yes,No,No,"(40.719219, -73.952479)"
